date,reserves_usd_bn,net_reserves_usd_bn
2024-04-01,27.578,7.58
2024-05-01,28.664,8.66
2024-06-01,29.886,9.89
2024-07-01,26.402,6.4
2024-08-01,26.719,6.72
2024-09-01,27.172,7.17
2024-10-01,28.618,8.62
2024-11-01,30.214,10.21
2024-12-01,29.612,9.61
2025-01-01,28.31,8.31
2025-02-01,28.117,8.12
2025-03-01,24.986,4.99
2025-04-01,38.928,18.93
2025-05-01,36.919,16.92
2025-06-01,39.973,19.97
2025-07-01,38.866,18.87
2025-08-01,39.986,19.99
2025-09-01,40.374,20.37
2025-10-01,39.382,19.38
2025-11-01,40.335,20.34
2025-12-01,41.167,21.17
2026-01-01,44.503,24.5
2026-02-01,45.566,25.57
2026-03-01,46.011,26.01
