year_quarter,isin,ticker,law,nonresident_pct
2023Q1,ARARGE3209S6,AL30,Interna,20.0
2023Q2,ARARGE3209S6,AL30,Interna,27.4
2023Q3,ARARGE3209S6,AL30,Interna,24.5
2023Q4,ARARGE3209S6,AL30,Interna,25.0
2024Q1,ARARGE3209S6,AL30,Interna,24.2
2024Q2,ARARGE3209S6,AL30,Interna,25.5
2024Q3,ARARGE3209S6,AL30,Interna,25.0
2024Q4,ARARGE3209S6,AL30,Interna,25.6
2025Q1,ARARGE3209S6,AL30,Interna,22.5
2025Q2,ARARGE3209S6,AL30,Interna,24.0
2025Q3,ARARGE3209S6,AL30,Interna,24.2
2025Q4,ARARGE3209S6,AL30,Interna,26.9
2023Q1,ARARGE3209T4,AL35,Interna,5.8
2023Q2,ARARGE3209T4,AL35,Interna,5.9
2023Q3,ARARGE3209T4,AL35,Interna,9.2
2023Q4,ARARGE3209T4,AL35,Interna,6.3
2024Q1,ARARGE3209T4,AL35,Interna,10.3
2024Q2,ARARGE3209T4,AL35,Interna,10.4
2024Q3,ARARGE3209T4,AL35,Interna,10.5
2024Q4,ARARGE3209T4,AL35,Interna,9.3
2025Q1,ARARGE3209T4,AL35,Interna,8.7
2025Q2,ARARGE3209T4,AL35,Interna,8.6
2025Q3,ARARGE3209T4,AL35,Interna,8.5
2025Q4,ARARGE3209T4,AL35,Interna,5.6
2023Q1,ARARGE3209U2,AL38,Interna,8.8
2023Q2,ARARGE3209U2,AL38,Interna,8.6
2023Q3,ARARGE3209U2,AL38,Interna,9.6
2023Q4,ARARGE3209U2,AL38,Interna,8.2
2024Q1,ARARGE3209U2,AL38,Interna,9.0
2024Q2,ARARGE3209U2,AL38,Interna,9.2
2024Q3,ARARGE3209U2,AL38,Interna,9.2
2024Q4,ARARGE3209U2,AL38,Interna,8.5
2025Q1,ARARGE3209U2,AL38,Interna,9.5
2025Q2,ARARGE3209U2,AL38,Interna,9.6
2025Q3,ARARGE3209U2,AL38,Interna,10.2
2025Q4,ARARGE3209U2,AL38,Interna,7.0
2023Q1,US040114HS26,GD30,Extranjera,63.8
2023Q2,US040114HS26,GD30,Extranjera,67.6
2023Q3,US040114HS26,GD30,Extranjera,63.6
2023Q4,US040114HS26,GD30,Extranjera,66.2
2024Q1,US040114HS26,GD30,Extranjera,66.4
2024Q2,US040114HS26,GD30,Extranjera,66.2
2024Q3,US040114HS26,GD30,Extranjera,64.5
2024Q4,US040114HS26,GD30,Extranjera,64.1
2025Q1,US040114HS26,GD30,Extranjera,63.9
2025Q2,US040114HS26,GD30,Extranjera,67.8
2025Q3,US040114HS26,GD30,Extranjera,69.8
2025Q4,US040114HS26,GD30,Extranjera,73.3
2023Q1,US040114HT09,GD35,Extranjera,80.1
2023Q2,US040114HT09,GD35,Extranjera,81.0
2023Q3,US040114HT09,GD35,Extranjera,64.7
2023Q4,US040114HT09,GD35,Extranjera,75.0
2024Q1,US040114HT09,GD35,Extranjera,74.3
2024Q2,US040114HT09,GD35,Extranjera,70.3
2024Q3,US040114HT09,GD35,Extranjera,68.2
2024Q4,US040114HT09,GD35,Extranjera,65.0
2025Q1,US040114HT09,GD35,Extranjera,65.7
2025Q2,US040114HT09,GD35,Extranjera,66.8
2025Q3,US040114HT09,GD35,Extranjera,71.6
2025Q4,US040114HT09,GD35,Extranjera,73.9
2023Q1,US040114HU71,GD38,Extranjera,80.9
2023Q2,US040114HU71,GD38,Extranjera,82.0
2023Q3,US040114HU71,GD38,Extranjera,72.2
2023Q4,US040114HU71,GD38,Extranjera,75.3
2024Q1,US040114HU71,GD38,Extranjera,76.9
2024Q2,US040114HU71,GD38,Extranjera,75.5
2024Q3,US040114HU71,GD38,Extranjera,75.4
2024Q4,US040114HU71,GD38,Extranjera,72.9
2025Q1,US040114HU71,GD38,Extranjera,72.9
2025Q2,US040114HU71,GD38,Extranjera,74.2
2025Q3,US040114HU71,GD38,Extranjera,75.3
2025Q4,US040114HU71,GD38,Extranjera,77.9
