date,fiscal_primary_ars_bn,fiscal_financial_ars_bn,fiscal_primary_pct_gdp,fiscal_financial_pct_gdp
2020-03-01,-124.7277,-166.305,-5.99,-7.98
2020-04-01,-228.82159999999993,-266.04949999999997,-11.43,-13.29
2020-05-01,-251.28700000000015,-308.2191000000001,-12.55,-15.39
2020-06-01,-253.70619999999997,-288.56519999999995,-12.67,-14.41
2020-07-01,-155.52380000000034,-189.08940000000038,-6.78,-8.24
2020-08-01,-89.49940000000002,-145.552,-3.9,-6.34
2020-09-01,-167.18148999999983,-212.02018999999981,-7.29,-9.24
2020-10-01,-81.62669999999984,-112.69599999999984,-3.03,-4.19
2020-11-01,-58.69280000000016,-127.02930000000018,-2.18,-4.72
2020-12-01,-307.6275000000002,-318.9090000000002,-11.44,-11.86
2021-01-01,24.073599999999978,-3.0303000000000213,0.79,-0.1
2021-02-01,-18.757200000000182,-64.31650000000019,-0.61,-2.1
2021-03-01,-74.46559999999987,-117.06059999999987,-2.43,-3.82
2021-04-01,-11.444899999999791,-57.03219999999978,-0.3,-1.48
2021-05-01,25.71358999999973,-64.61831000000026,0.67,-1.67
2021-06-01,-153.2174800000001,-207.9474700000001,-3.97,-5.38
2021-07-01,-98.57029999999992,-163.15568999999994,-2.49,-4.13
2021-08-01,-124.83549999999951,-193.39319999999955,-3.16,-4.89
2021-09-01,291.4283999999998,237.2504999999998,7.37,6.0
2021-10-01,-209.1687000000003,-277.0942000000003,-4.62,-6.12
2021-11-01,-134.6528999999999,-242.0891999999999,-2.98,-5.35
2021-12-01,-496.3436000000005,-511.99450000000047,-10.97,-11.32
2022-01-01,-16.698033446000192,-150.66383344600015,-0.33,-3.0
2022-02-01,-76.28349999999976,-136.89879999999977,-1.52,-2.72
2022-03-01,-99.75330000000005,-172.02930000000003,-1.98,-3.42
2022-04-01,-79.18480000000028,-146.31460000000027,-1.21,-2.23
2022-05-01,-162.41174657899978,-242.43254657899976,-2.48,-3.7
2022-06-01,-321.64440000000013,-396.5774000000001,-4.91,-6.05
2022-07-01,-1.9453000000002796,-131.6628000000003,-0.03,-1.8
2022-08-01,-210.05180000000027,-370.1044000000003,-2.87,-5.05
2022-09-01,80.62429999999958,-4.444100000000428,1.1,-0.06
2022-10-01,-103.0491000000008,-185.2514000000008,-1.18,-2.13
2022-11-01,-227.83829999999932,-531.2770999999995,-2.62,-6.11
2022-12-01,-441.512,-685.1009,-5.08,-7.88
2023-01-01,-203.93830000000028,-537.9697000000002,-2.03,-5.35
2023-02-01,-228.13400000000024,-485.59090000000026,-2.27,-4.83
2023-03-01,-257.8554999999998,-388.00579999999974,-2.56,-3.86
2023-04-01,-331.3727999999996,-407.3879999999996,-2.5,-3.07
2023-05-01,-247.65089999999944,-631.0717999999995,-1.87,-4.76
2023-06-01,-611.742500000001,-708.6034000000009,-4.61,-5.34
2023-07-01,-334.36599999999953,-754.2431999999994,-1.94,-4.38
2023-08-01,-36.964399999999905,-384.5044999999999,-0.21,-2.23
2023-09-01,-380.47340000000037,-511.53270000000043,-2.21,-2.97
2023-10-01,-330.33819999999923,-454.24889999999925,-1.4,-1.92
2023-11-01,-210.48439999999945,-754.9563999999995,-0.89,-3.2
2023-12-01,-1991.3161000000007,-2400.3529000000003,-8.44,-10.17
2024-01-01,2010.7455000000004,518.4076000000006,5.7,1.47
2024-02-01,1232.524500000001,338.1124000000009,3.49,0.96
2024-03-01,625.0340999999978,276.6381999999978,1.77,0.78
2024-04-01,264.95160000000055,17.40880000000057,0.57,0.04
2024-05-01,2332.205400000002,1183.5710000000024,5.0,2.54
2024-06-01,488.56880000000166,238.1888000000017,1.05,0.51
2024-07-01,908.2525,-600.9572999999998,1.7,-1.12
2024-08-01,899.6599999999991,3.530499999999185,1.68,0.01
2024-09-01,816.4471000000005,466.6307000000005,1.52,0.87
2024-10-01,746.9205000000056,523.3980000000056,1.26,0.89
2024-11-01,1381.5454000000004,357.1622000000003,2.34,0.6
2024-12-01,-1301.0458000000008,-1557.3053000000007,-2.2,-2.63
2025-01-01,2434.865299999999,599.7531999999987,4.03,0.99
2025-02-01,1176.9153000000008,310.7262000000008,1.9,0.5
2025-03-01,745.3394999999981,398.9092999999981,1.16,0.62
2025-04-01,845.9490999999996,572.3409999999997,1.28,0.87
2025-05-01,1696.9173999999966,662.1228999999968,2.53,0.99
2025-06-01,790.5329000000004,551.2342000000004,1.16,0.81
2025-07-01,1749.3855000000021,-168.51519999999832,2.52,-0.24
2025-08-01,1556.8640000000034,390.30050000000347,2.2,0.55
2025-09-01,696.9651000000015,309.62340000000154,0.97,0.43
2025-10-01,823.9248000000008,517.6717000000007,1.12,0.7
2025-11-01,2128.009399999995,599.9537999999947,2.81,0.79
2025-12-01,-2876.4496000000054,-3290.301900000005,-3.7,-4.23
2026-01-01,3125.737299999999,1105.1589999999987,3.91,1.38
2026-02-01,1410.6397000000068,144.4213000000068,1.71,0.18
