year_quarter,multilateral_usd_m,multilateral_pct,official_other_usd_m,official_other_pct,bondholders_usd_m,bondholders_pct
2022Q2,73165.0,49.1,2020.0,2021.0,71189.0,47.8
2022Q3,67660.0,48.5,2020.0,2021.0,67553.0,48.4
2022Q4,76431.0,51.7,5348.0,3.6,66005.0,44.7
2023Q1,77357.0,53.0,5444.0,3.7,63119.0,43.3
2023Q2,72196.0,50.6,5462.0,3.8,64962.0,45.5
2023Q3,76110.0,52.7,5241.0,3.6,62937.0,43.6
2023Q4,75234.0,52.9,5097.0,3.6,61969.0,43.5
2024Q1,75800.0,52.8,4623.0,3.2,63149.0,44.0
2024Q2,74277.0,52.6,4571.0,3.2,62431.0,44.2
2024Q3,75759.0,55.1,4228.0,3.1,57438.0,41.8
2024Q4,76318.0,56.1,4114.0,3.0,55575.0,40.9
2025Q1,76950.0,56.9,3730.0,2.8,54526.0,40.3
2025Q2,92964.0,60.3,3799.0,2.5,57347.0,37.2
2025Q3,96521.0,61.4,3351.0,2.1,57255.0,36.4
2025Q4,97255.0,60.9,3505.0,2.2,59066.0,37.0
