date,quarter_start,quarter_end,current_account_usd_bn
2016Q1,2016-01-01,2016-03-31,-4.896510632492704
2016Q2,2016-04-01,2016-06-30,-2.930591282741447
2016Q3,2016-07-01,2016-09-30,-2.967120322215822
2016Q4,2016-10-01,2016-12-31,-4.310564287110145
2017Q1,2017-01-01,2017-03-31,-7.23466883897359
2017Q2,2017-04-01,2017-06-30,-6.6053105935008825
2017Q3,2017-07-01,2017-09-30,-8.148704854829255
2017Q4,2017-10-01,2017-12-31,-9.162667463458652
2018Q1,2018-01-01,2018-03-31,-9.396401747068385
2018Q2,2018-04-01,2018-06-30,-8.434387548974009
2018Q3,2018-07-01,2018-09-30,-7.358719611096843
2018Q4,2018-10-01,2018-12-31,-1.8940975439177816
2019Q1,2019-01-01,2019-03-31,-3.433675904719644
2019Q2,2019-04-01,2019-06-30,-1.8118949534367144
2019Q3,2019-07-01,2019-09-30,-0.8083976494103371
2019Q4,2019-10-01,2019-12-31,2.561488926482491
2020Q1,2020-01-01,2020-03-31,0.11712396953858388
2020Q2,2020-04-01,2020-06-30,2.863324168509738
2020Q3,2020-07-01,2020-09-30,1.150405054093416
2020Q4,2020-10-01,2020-12-31,-1.4424911866186234
2021Q1,2021-01-01,2021-03-31,0.3954219267721789
2021Q2,2021-04-01,2021-06-30,2.546700798439099
2021Q3,2021-07-01,2021-09-30,3.348568343647481
2021Q4,2021-10-01,2021-12-31,0.33409412348924006
2022Q1,2022-01-01,2022-03-31,-1.242604777552642
2022Q2,2022-04-01,2022-06-30,-0.9526837669637778
2022Q3,2022-07-01,2022-09-30,-3.605723418913113
2022Q4,2022-10-01,2022-12-31,1.836937048148597
2023Q1,2023-01-01,2023-03-31,-5.4090808513748465
2023Q2,2023-04-01,2023-06-30,-6.509841725250186
2023Q3,2023-07-01,2023-09-30,-5.891051281731883
2023Q4,2023-10-01,2023-12-31,-2.9412777471934217
2024Q1,2024-01-01,2024-03-31,0.17596161263627072
2024Q2,2024-04-01,2024-06-30,3.7322656829358687
2024Q3,2024-07-01,2024-09-30,0.8906184417102074
2024Q4,2024-10-01,2024-12-31,0.902513719079646
2025Q1,2025-01-01,2025-03-31,-5.636990543645708
2025Q2,2025-04-01,2025-06-30,-2.7735198124943072
2025Q3,2025-07-01,2025-09-30,-1.4652639337840228
2025Q4,2025-10-01,2025-12-31,2.2941509880928437
