year_quarter,creditor,current_usd_m,prev_usd_m
2022Q4,BID,15648.0,13861.0
2022Q4,BIRF,9205.0,8948.0
2022Q4,CAF,3931.0,3822.0
2022Q4,FIDA,36.0,31.0
2022Q4,FMI,45707.0,39300.0
2022Q4,FONPLATA,491.0,453.0
2022Q4,Otros (BEI/OFID/BCIE),494.0,429.0
2023Q1,BID,15507.0,15648.0
2023Q1,BIRF,9256.0,9205.0
2023Q1,CAF,4105.0,3931.0
2023Q1,FIDA,36.0,36.0
2023Q1,FMI,46041.0,45707.0
2023Q1,FONPLATA,487.0,491.0
2023Q1,Otros (BEI/OFID/BCIE),910.0,494.0
2023Q2,BID,15897.0,15507.0
2023Q2,BIRF,9386.0,9256.0
2023Q2,CAF,4166.0,4105.0
2023Q2,FIDA,34.0,36.0
2023Q2,FMI,40220.0,46041.0
2023Q2,FONPLATA,479.0,487.0
2023Q2,Otros (BEI/OFID/BCIE),925.0,910.0
2023Q3,BID,16232.0,15897.0
2023Q3,BIRF,9481.0,9386.0
2023Q3,CAF,4385.0,4166.0
2023Q3,FIDA,48.0,34.0
2023Q3,FMI,43491.0,40220.0
2023Q3,FONPLATA,469.0,479.0
2023Q3,Otros (BEI/OFID/BCIE),961.0,925.0
2023Q4,BID,16511.0,16232.0
2023Q4,BIRF,9889.0,9481.0
2023Q4,CAF,5435.0,4385.0
2023Q4,FIDA,48.0,48.0
2023Q4,FMI,40899.0,43491.0
2023Q4,FONPLATA,461.0,469.0
2023Q4,Otros (BEI/OFID/BCIE),972.0,961.0
2024Q1,BID,16254.0,16511.0
2024Q1,BIRF,9832.0,9889.0
2024Q1,CAF,4334.0,5435.0
2024Q1,FIDA,47.0,48.0
2024Q1,FMI,42963.0,40899.0
2024Q1,FONPLATA,470.0,461.0
2024Q1,Otros (BEI/OFID/BCIE),964.0,972.0
2024Q2,BID,16116.0,16254.0
2024Q2,BIRF,9757.0,9832.0
2024Q2,CAF,4479.0,4334.0
2024Q2,FIDA,44.0,47.0
2024Q2,FMI,41546.0,42963.0
2024Q2,FONPLATA,467.0,470.0
2024Q2,Otros (BEI/OFID/BCIE),970.0,964.0
2024Q3,BID,16602.0,16116.0
2024Q3,BIRF,9769.0,9757.0
2024Q3,CAF,4750.0,4479.0
2024Q3,FIDA,45.0,44.0
2024Q3,FMI,42181.0,41546.0
2024Q3,FONPLATA,597.0,467.0
2024Q3,Otros (BEI/OFID/BCIE),974.0,970.0
2024Q4,BID,17572.0,16602.0
2024Q4,BIRF,10738.0,9769.0
2024Q4,CAF,4800.0,4750.0
2024Q4,FIDA,40.0,45.0
2024Q4,FMI,40558.0,42181.0
2024Q4,FONPLATA,644.0,597.0
2024Q4,Otros (BEI/OFID/BCIE),1133.0,974.0
2025Q1,BID,17395.0,17572.0
2025Q1,BIRF,10718.0,10738.0
2025Q1,CAF,4750.0,4800.0
2025Q1,FIDA,42.0,40.0
2025Q1,FMI,41323.0,40558.0
2025Q1,FONPLATA,622.0,644.0
2025Q1,Otros (BEI/OFID/BCIE),1133.0,1133.0
2025Q2,BID,18089.0,17395.0
2025Q2,BIRF,12121.0,10718.0
2025Q2,CAF,4670.0,4750.0
2025Q2,FIDA,41.0,42.0
2025Q2,FMI,55317.0,41323.0
2025Q2,FONPLATA,610.0,622.0
2025Q2,Otros (BEI/OFID/BCIE),1213.0,1133.0
2025Q3,BID,18970.0,18089.0
2025Q3,BIRF,12327.0,12121.0
2025Q3,CAF,4917.0,4670.0
2025Q3,FIDA,41.0,41.0
2025Q3,FMI,57292.0,55317.0
2025Q3,FONPLATA,602.0,610.0
2025Q3,Otros (BEI/OFID/BCIE),1203.0,1213.0
2025Q4,BID,19301.0,18970.0
2025Q4,BIRF,12807.0,12327.0
2025Q4,CAF,4842.0,4917.0
2025Q4,FIDA,39.0,41.0
2025Q4,FMI,57230.0,57292.0
2025Q4,FONPLATA,599.0,602.0
2025Q4,Otros (BEI/OFID/BCIE),1313.0,1203.0
