date,quarter_start,quarter_end,gdp_growth_pct
2016Q1,2016-01-01,2016-03-31,0.7286925452810067
2016Q2,2016-04-01,2016-06-30,-3.858859647401336
2016Q3,2016-07-01,2016-09-30,-3.3272188518777557
2016Q4,2016-10-01,2016-12-31,-1.4932883928850726
2017Q1,2017-01-01,2017-03-31,0.5596790824431652
2017Q2,2017-04-01,2017-06-30,2.326583407676619
2017Q3,2017-07-01,2017-09-30,3.850608563626845
2017Q4,2017-10-01,2017-12-31,4.53268482640472
2018Q1,2018-01-01,2018-03-31,3.7977402181420095
2018Q2,2018-04-01,2018-06-30,-3.9790994073943042
2018Q3,2018-07-01,2018-09-30,-3.469440387395073
2018Q4,2018-10-01,2018-12-31,-6.339739167007508
2019Q1,2019-01-01,2019-03-31,-5.863725398737529
2019Q2,2019-04-01,2019-06-30,0.5828198936035367
2019Q3,2019-07-01,2019-09-30,-1.7527161635665145
2019Q4,2019-10-01,2019-12-31,-1.074842739518056
2020Q1,2020-01-01,2020-03-31,-5.025069658659365
2020Q2,2020-04-01,2020-06-30,-18.94219403858458
2020Q3,2020-07-01,2020-09-30,-10.192766275916265
2020Q4,2020-10-01,2020-12-31,-4.313299476410359
2021Q1,2021-01-01,2021-03-31,3.23260077948051
2021Q2,2021-04-01,2021-06-30,18.72996077966329
2021Q3,2021-07-01,2021-09-30,11.814535666569048
2021Q4,2021-10-01,2021-12-31,8.364113941174
2022Q1,2022-01-01,2022-03-31,6.8613838718545095
2022Q2,2022-04-01,2022-06-30,8.130014461943947
2022Q3,2022-07-01,2022-09-30,6.684421363238302
2022Q4,2022-10-01,2022-12-31,2.385427626784198
2023Q1,2023-01-01,2023-03-31,0.9119823772244517
2023Q2,2023-04-01,2023-06-30,-5.674872432525991
2023Q3,2023-07-01,2023-09-30,-0.549172525238073
2023Q4,2023-10-01,2023-12-31,-1.7159855487470788
2024Q1,2024-01-01,2024-03-31,-4.961703257797412
2024Q2,2024-04-01,2024-06-30,-1.0832999180517833
2024Q3,2024-07-01,2024-09-30,-1.9370671986960297
2024Q4,2024-10-01,2024-12-31,2.6382961114662207
2025Q1,2025-01-01,2025-03-31,5.837474157484324
2025Q2,2025-04-01,2025-06-30,6.381414089599824
2025Q3,2025-07-01,2025-09-30,3.256904478766165
2025Q4,2025-10-01,2025-12-31,2.058050707473713
