date,ucii_nivel_general,ucii_productos_alimenticios_bebidas,ucii_productos_tabaco,ucii_textiles_pct,ucii_papel_carton,ucii_edicion_impresion,ucii_refinacion_petroleo,ucii_sustancias_productos_quimicos,ucii_caucho_plastico,ucii_minerales_no_metalicos,ucii_metals_pct,ucii_auto_pct,ucii_metalmecanica_no_industria_automotriz,ucii_avg_pct
2024-04-01,56.5,57.9,52.0,37.7,69.5,49.9,80.1,63.3,42.4,42.7,63.7,52.6,44.5,51.333333333333336
2024-05-01,56.7,59.4,53.0,41.4,60.5,46.0,81.7,67.7,41.6,47.2,61.3,45.5,45.3,49.4
2024-06-01,54.3,59.4,35.4,43.9,60.4,41.3,78.4,66.3,39.4,46.8,56.6,39.0,42.0,46.5
2024-07-01,59.5,65.4,47.9,49.0,60.3,48.8,80.7,65.7,44.0,52.3,61.5,52.2,51.1,54.23333333333333
2024-08-01,61.2,64.5,54.4,50.4,65.5,51.4,79.7,64.4,48.7,61.7,66.8,59.9,50.8,59.03333333333333
2024-09-01,62.2,68.2,48.7,51.3,68.3,56.1,78.5,65.7,49.9,64.2,72.4,59.6,43.9,61.1
2024-10-01,63.0,69.5,48.9,47.8,72.9,57.8,79.1,63.5,48.9,63.1,68.9,61.2,50.7,59.300000000000004
2024-11-01,62.3,66.9,47.6,48.2,68.6,53.0,82.1,66.1,46.8,60.6,67.2,64.7,50.0,60.03333333333334
2024-12-01,56.7,65.9,37.2,43.1,57.7,48.1,83.4,64.0,42.0,50.9,52.4,44.2,45.7,46.56666666666666
2025-01-01,55.0,61.0,40.8,33.9,67.3,52.1,84.6,66.0,39.6,43.3,59.3,34.8,38.1,42.666666666666664
2025-02-01,58.6,62.4,49.9,46.4,68.8,52.8,73.9,63.4,46.3,55.0,67.3,54.6,44.0,56.099999999999994
2025-03-01,54.4,57.6,41.2,41.0,68.2,48.9,75.8,53.8,42.0,51.7,64.3,48.9,42.8,51.4
2025-04-01,58.2,61.5,45.7,42.6,67.0,53.8,83.9,56.5,45.2,56.2,63.9,56.8,49.3,54.43333333333334
2025-05-01,58.6,61.7,41.5,47.4,69.3,53.8,73.3,62.1,44.5,56.2,67.4,56.8,46.0,57.20000000000001
2025-06-01,58.8,62.7,40.2,50.4,68.0,52.8,83.2,64.0,41.7,55.1,64.3,52.0,45.9,55.56666666666666
2025-07-01,58.2,65.2,46.5,44.4,60.6,52.5,81.7,59.9,43.2,57.1,63.9,44.1,48.7,50.800000000000004
2025-08-01,59.4,66.6,46.9,41.5,61.4,50.9,86.1,60.1,42.1,58.5,70.4,53.3,44.4,55.06666666666666
2025-09-01,61.1,69.2,48.7,37.1,65.0,55.2,88.9,63.7,42.9,58.6,70.4,57.1,43.5,54.86666666666667
2025-10-01,61.0,68.7,42.9,32.5,62.3,53.2,82.2,63.6,42.6,60.5,71.1,56.1,48.2,53.23333333333333
2025-11-01,57.7,64.2,44.9,29.2,71.2,50.6,86.5,57.8,41.0,58.2,73.3,46.3,39.9,49.6
2025-12-01,53.8,63.6,38.6,35.2,65.0,46.5,87.1,58.6,33.4,51.1,57.5,31.2,38.9,41.300000000000004
2026-01-01,53.6,60.2,50.9,23.7,61.7,54.0,86.8,64.8,36.1,45.5,67.6,24.0,31.4,38.43333333333333
2026-02-01,54.6,58.6,49.5,39.9,65.9,54.4,88.9,64.4,38.7,49.0,59.7,38.9,33.9,46.166666666666664
2026-03-01,59.8,61.6,52.7,40.2,70.0,56.0,86.0,69.5,41.3,56.6,73.3,49.6,40.0,54.36666666666667
