date,colocaciones,derivatives,divisas,gold_net,total_gross_usd_bn,liquid_usd_bn
2024-03-01,6.144,0.034,16.781,4.378,27.337,22.924999999999997
2024-04-01,8.787,-0.006,14.473,4.599,27.853,23.26
2024-05-01,8.505,-0.024,15.821,4.662,28.964,24.326
2024-06-01,7.936,0.055,16.633,4.659,29.282999999999998,24.569
2024-07-01,6.668,0.027,15.109,4.853,26.657000000000004,21.777
2024-08-01,5.69,0.045,16.251,5.013,26.999000000000002,21.941000000000003
2024-09-01,4.883,0.042,17.214,5.283,27.422,22.096999999999998
2024-10-01,6.105,-0.009,17.303,5.488,28.887,23.408
2024-11-01,6.673,-0.048,18.568,5.332,30.525000000000002,25.241
2024-12-01,5.477,0.053,19.158,5.26,29.948,24.635
2025-01-01,6.742,-0.023,16.25,5.63,28.599,22.992
2025-02-01,5.843,0.003,16.759,5.68,28.285,22.602
2025-03-01,1.842,-0.159,17.206,6.217,25.105999999999998,19.048
2025-04-01,7.597,-0.114,26.255,6.838,40.576,33.852
2025-05-01,8.189,-0.118,23.534,6.794,38.398999999999994,31.723
2025-06-01,8.86,-0.038,24.983,6.608,40.413,33.843
2025-07-01,10.226,0.128,24.153,6.98,41.486999999999995,34.379
2025-08-01,11.0,-0.073,22.104,6.81,39.841,33.104
2025-09-01,9.58,-0.404,22.76,7.44,39.376,32.34
2025-10-01,9.322,-0.17,22.418,7.965,39.535,31.74
